_id,air处理/air,Al,B,C,Co,Cr,Fe,Mo,Nb+Ta,Ni,Si,Ta,Ti,W,Zr,一次时效/温度,一次时效及空冷/时间,二次时效/温度,二次时效及空冷/时间,保温/时间,力学性能/疲劳裂纹扩展速率,加热/温度,加载应力/应力比,加载应力/应力范围,备注,应力强度因子范围/应力强度因子范围,摘录出处,数据DOI,数据审核者,数据来源方式,数据生产者,数据采集时间,晶粒取向/晶粒取向,机械热处理/温度,材料牌号,标准热处理/温度,标准热处理后油淬/时间,热处理1/冷却速率,热处理1/时间,热处理1/温度,热处理2/冷却速率,热处理2/时间,热处理2/温度,热处理3/冷却速率,热处理3/时间,热处理3/温度,热处理4/冷却速率,热处理4/时间,热处理4/温度,热处理5/时间,热处理5/温度,热机械处理/温度,疲劳测试/初始温度,疲劳测试/应力强度,疲劳测试/应力强度因子,疲劳测试/测试温度,疲劳测试/温度,疲劳测试/频率,疲劳裂纹扩展/同等水平有效应力强度因子,疲劳裂纹扩展/应力强度因子,疲劳裂纹扩展/应力强度因子范围,疲劳裂纹扩展/有效应力强度因子范围,疲劳裂纹扩展/等效应力强度因子范围,疲劳裂纹扩展温度/疲劳裂纹扩展温度,疲劳裂纹扩展频率/疲劳裂纹扩展频率,真空处理/真空,第一次时效保温/第一次时效时间,第一次时效处理/第一次时效温度,第三次时效保温/第三次时效时间,第三次时效处理/第三次时效温度,第二次时效保温/第二次时效时间,第二次时效处理/第二次时效温度,等温锻造/变形量,等温锻造/温度,裂纹初始长度/裂纹初始长度,裂纹扩展方向/裂纹扩展方向,裂纹扩展频率/频率,裂纹面/裂纹面
"ObjectId(""5b4c96a9e6b1a81674aab641"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0123818mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,62.1839Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96aee6b1a81674aab643"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.021888mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,64.4684Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96b4e6b1a81674aab645"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00360331mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,63.8397Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96b9e6b1a81674aab647"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.011996mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,65.7842Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96bee6b1a81674aab649"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00931263mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,63.4838Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96c3e6b1a81674aab64b"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00700424mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,67.1334Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96c8e6b1a81674aab64d"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00479085mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,66.1561Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96cde6b1a81674aab64f"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0164625mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,65.816Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96d2e6b1a81674aab651"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00722947mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,63.014Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96d7e6b1a81674aab653"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00449698mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,65.2247Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
