"/加工温度(4h于1080℃（1980℉）","/加工温度(4h于1110℃（2030℉）","/油淬)，试样盘尺寸","/油淬与时效)，试样盘尺寸","/空冷)，试样盘尺寸","_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","N","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Y","Zr","一次时效/温度","一次时效及空冷/时间","二次时效/温度","二次时效及空冷/时间","保温/保温时间","保温/固溶时间","保温/拉伸温度","保温/第二次时效温度","冷却/油冷温度","冷却/盐浴温度","冷却/空冷","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","均匀化处理/时间","均匀化处理/温度","均匀化退火/均匀化退火时间","均匀化退火/均匀化退火温度","备注","应力破裂测试/温度","拉伸/温度","拉伸实验/温度","拉伸测试/ 温度","拉伸测试/应变速率","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/测试温度","拉伸测试/温度","拉伸试验/弹性模量","拉伸试验/晶粒取向（距[001]面）","拉伸试验/晶粒取向（距[011]面）","拉伸试验/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/拉伸塑形应变","时效/时效时间","时效/时效温度","时效/第一次时效时间","时效/第二次时效温度","时效/高温时效温度","时效1/时效时间","时效1/时效温度","时效2/时效时间","时效2/时效温度","时效处理/时效时间","时效处理/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","最小量热等静压制的/试验温度","最终退火/最终退火温度","材料牌号","标准热处理后油淬/时间","油淬/第一次时效温度","油淬/第二次时效时间","测试温度/温度","炉冷/温度","炉冷/第一次时效温度","炉冷/第二次时效时间","烧结/温度","热处理(氩气氛冷却)/烧结时间","热处理(氩气氛冷却)/烧结温度","热处理/固溶温度","热处理/温度","热处理1/冷却速率","热处理1/时间","热处理1/温度","热处理2/冷却速率","热处理2/时间","热处理2/温度","热处理3/冷却速率","热处理3/时间","热处理3/温度","热处理4/冷却速率","热处理4/时间","热处理4/温度","热处理5/时间","热处理5/温度","热处理与测试/保温时间(第一步)","热处理与测试/保温时间(第二步)","热处理与测试/冷却方式(第一步)","热处理与测试/冷却方式(第二步)","热处理与测试/测试温度","热处理与测试/温度(第一步)","热处理与测试/温度(第二步)","热处理后空冷/时间","热处理工艺/一次空冷温度","热处理工艺/二次空冷温度","热处理工艺/冷却时间","热处理工艺/冷去时间","热处理工艺/加热时间","热处理工艺/加热温度","热处理工艺/测试温度","热处理工艺/炉冷温度","热处理工艺/空冷温度","热等静压/压力","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","热等静压制和挤压的/试验温度","热等静压制和锻造的/试验温度","热等静压制的/试验温度","热等静压制的（a）/试验温度","焊前热处理/时间","焊前热处理/温度","空冷/老化时间","空气冷却/空冷","第1步热处理/时间","第1步热处理/温度","第2步热处理/冷却速率","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次热处理/温度","第一次热处理后炉冷/时间","第一次轧制/温度","第二次热处理/升温速率","第二次热处理/温度","第二次热处理后空冷/时间","第二次轧制/温度","等温锻造/变形量","等温锻造/温度","老化/老化温度","蠕变测试/测试温度","试样置于高温/放置温度","轧制/轧制厚度","轧制/轧制温度","铸锭/铸锭直径","铸锭/铸锭重量","锻造/试样厚度","锻造/锻造厚度减少量","锻造和锻轧的/试验温度","锻造（空冷）/锻造温度"
,,,,,"ObjectId(""5b4cae8ae6b1a81674aabf45"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.6964Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"243.852℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cae8fe6b1a81674aabf47"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.309Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"358.607℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cae94e6b1a81674aabf49"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"23.0921Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"172.131℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cae99e6b1a81674aabf4b"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.4383Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"321.311℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cae9ee6b1a81674aabf4d"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.3739Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"341.393℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caea3e6b1a81674aabf4f"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.8928Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"200.82℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caea8e6b1a81674aabf51"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.0521Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"441.803℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caeade6b1a81674aabf53"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.112Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"398.77℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caeb1e6b1a81674aabf55"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.5637Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"263.934℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caeb6e6b1a81674aabf57"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.829Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"223.77℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caebbe6b1a81674aabf59"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.4988Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"281.148℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caec0e6b1a81674aabf5b"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"23.0266Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"186.475℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caec5e6b1a81674aabf5d"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.5021Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"298.361℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caecae6b1a81674aabf5f"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.1763Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"378.689℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caecfe6b1a81674aabf61"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"22.1159Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"418.852℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caed9e6b1a81674aabf63"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"24.0309Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"83.1967℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caedde6b1a81674aabf65"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"24.5699Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"45.9016℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caef6e6b1a81674aabf6f"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"23.4929Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"126.23℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caefbe6b1a81674aabf71"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"23.8971Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"97.541℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caf00e6b1a81674aabf73"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"23.1582Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"160.656℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caf0ee6b1a81674aabf79"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"23.6267Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"111.885℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caf13e6b1a81674aabf7b"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"24.908Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"28.6885℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caf18e6b1a81674aabf7d"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"23.2914Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"143.443℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4caf1de6b1a81674aabf7f"")","0.52",,,,"0.49","17.65","Balance",,,"2.90",,,"5.41","52.65wt.%",,,,,"0.99",,,,,,,,,,,,,,,"24.3001Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"63.1148℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"DP718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cb715e6b1a819a85d6249"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,,,,,"21.2203Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"579.457℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cb71fe6b1a819a85d624d"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,,,,,"20.9467Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"611.196℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cb728e6b1a819a85d6251"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,,,,,"21.0834Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"596.773℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cb72de6b1a819a85d6253"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,,,,,"20.5373Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"645.788℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cb732e6b1a819a85d6255"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,,,,,"21.5856Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"527.497℃",,,,,"Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,,,,,,,
