"_id","Al","B","C","Co","Cr","Fe","Hf","Mo","Nb","Ni","Ta","Ti","W","Zr","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/温度","拉伸试验/弹性模量","拉伸试验/晶粒取向（距[001]面）","拉伸试验/晶粒取向（距[011]面）","拉伸试验/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效处理/时效时间","时效处理/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热处理(氩气氛冷却)/烧结时间","热处理(氩气氛冷却)/烧结温度","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","第一次轧制/温度","第二次轧制/温度","锻造/试样厚度","锻造/锻造厚度减少量","锻造（空冷）/锻造温度"
"ObjectId(""5b4d2151e6b1a819a85d8abf"")",,,,,,,,,,,,,,,,,"13.2%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","31%","2100℃"
"ObjectId(""5b4d2156e6b1a819a85d8ac1"")",,,,,,,,,,,,,,,,,"13.1%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","28%","2100℃"
"ObjectId(""5b4d215fe6b1a819a85d8ac5"")",,,,,,,,,,,,,,,,,"13.2%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2100℃"
"ObjectId(""5b4d2164e6b1a819a85d8ac7"")",,,,,,,,,,,,,,,,,"11.4%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","20%","2100℃"
"ObjectId(""5b4d2169e6b1a819a85d8ac9"")",,,,,,,,,,,,,,,,,"12.9%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","27%","2100℃"
"ObjectId(""5b4d216ee6b1a819a85d8acb"")",,,,,,,,,,,,,,,,,"13.4%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","32%","2100℃"
"ObjectId(""5b4d2173e6b1a819a85d8acd"")",,,,,,,,,,,,,,,,,"13.1%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","29%","2100℃"
"ObjectId(""5b4d2178e6b1a819a85d8acf"")",,,,,,,,,,,,,,,,,"12.6%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","26%","2100℃"
"ObjectId(""5b4d217ce6b1a819a85d8ad1"")",,,,,,,,,,,,,,,,,"12.1%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","23%","2100℃"
"ObjectId(""5b4d2242e6b1a819a85d8b1b"")",,,,,,,,,,,,,,,,,"19.41%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2080℃"
"ObjectId(""5b4d224ce6b1a819a85d8b1f"")",,,,,,,,,,,,,,,,,"20.31%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2100℃"
"ObjectId(""5b4d225ae6b1a819a85d8b25"")",,,,,,,,,,,,,,,,,"19.66%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2090℃"
"ObjectId(""5b4d2276e6b1a819a85d8b2d"")",,,,,,,,,,,,,,,,,"18.92%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2010℃"
"ObjectId(""5b4d227be6b1a819a85d8b2f"")",,,,,,,,,,,,,,,,,"18.96%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2070℃"
"ObjectId(""5b4d227fe6b1a819a85d8b31"")",,,,,,,,,,,,,,,,,"18.84%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2040℃"
"ObjectId(""5b4d2284e6b1a819a85d8b33"")",,,,,,,,,,,,,,,,,"12.34%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2100℃"
"ObjectId(""5b4d2289e6b1a819a85d8b35"")",,,,,,,,,,,,,,,,,"19.12%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2060℃"
"ObjectId(""5b4d228ee6b1a819a85d8b37"")",,,,,,,,,,,,,,,,,"12.10%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","30%","2090℃"
"ObjectId(""5b4d2293e6b1a819a85d8b39"")",,,,,,,,,,,,,,,,,"19.08%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2000℃"
"ObjectId(""5b4d2298e6b1a819a85d8b3b"")",,,,,,,,,,,,,,,,,"18.76%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2020℃"
