"/循环时间","_id","Al","B","C","Cb","Co","Cr","Hf","Mo","Ni","Ti","Zr","低周疲劳极限/切口因素","低周疲劳极限/温度","冷却/空冷","力学性能/低周疲劳极限","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效1/时效时间","时效1/时效温度","材料牌号","热处理工艺/加热时间","热处理工艺/加热温度","热等静压/压力","热等静压/时间","热等静压/温度"
"56964周数","ObjectId(""5b4d288de6b1a819a85d8d81"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","452.6406Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"40261周数","ObjectId(""5b4d2892e6b1a819a85d8d83"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","518.8963Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"34006周数","ObjectId(""5b4d289be6b1a819a85d8d85"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","552.0262Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"35307周数","ObjectId(""5b4d28a0e6b1a819a85d8d87"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","545.8170Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"28994周数","ObjectId(""5b4d28a5e6b1a819a85d8d89"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","583.0850Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"28190周数","ObjectId(""5b4d28aae6b1a819a85d8d8b"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","585.1477Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"26399周数","ObjectId(""5b4d28afe6b1a819a85d8d8d"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","597.5704Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"38058周数","ObjectId(""5b4d28b4e6b1a819a85d8d8f"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","533.3986Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"29543周数","ObjectId(""5b4d28b9e6b1a819a85d8d91"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","578.9427Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"27152周数","ObjectId(""5b4d28bee6b1a819a85d8d93"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","589.2816Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
