Alloy,Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,creep_life
188,60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,43.8
189,63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,60.1
190,64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,982,276,53.5
191,63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,69.6
192,63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,64.7
193,64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,161.8
194,67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,49.1
195,64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,51.4
196,62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,63.7
197,65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,65.4
198,64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,83.6
199,64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,982,276,55.5
200,65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,85.6
201,64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,115.5
202,63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,158.7
203,63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,80.4
204,64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,982,276,70.3
205,65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,48.7
206,61.281,2,10,6.5,0,6.5,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,91.9
207,61.281,3,10,6.5,0,5.5,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,94.7
208,61.781,4,10,6.5,0,4,1.5,5,7,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,119.8
209,60.581,3,10,6.2,0,5,1.5,7,6.5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,76.2
210,60.081,2.5,10,6.2,0,6,1.5,7,6.5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,72.7
211,59.546,2,10,6.2,0,7,1.5,7,6.5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,982,276,72.7
212,60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,126.5
213,60.981,2,10,5.8,1.5,6,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,68.9
214,60.981,1,10,5.8,1.5,7,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,58.5
215,71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,982,276,51.6
216,62.781,3,10,7,0,5.5,1.5,6,4,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,80.7
217,74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,55.3
218,63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,184.5
219,62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,45.5
220,63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,90
221,63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,70.1
222,64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,52.4
223,65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,55.2
224,60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,57.4
225,63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,100.3
226,64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,1093,138,31.6
227,63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,46
228,63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,35.4
229,64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,44.1
230,67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,30.2
231,64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,27
232,62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,42.8
233,65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,64.8
234,64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,47.6
235,64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,1093,138,42.3
236,65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,68
237,64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,100.6
238,63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,153.7
239,63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,98.4
240,64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,1093,138,43.1
241,63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,90.4
242,62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,29.1
243,63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,82.9
244,65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,30
245,60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,22.9
246,63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,66.4
247,64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,1148,90,39.2
248,63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,25.3
249,63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,10.1
250,64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,8.2
251,67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,53.5
252,64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,52.2
253,62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,47.1
254,65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,143.2
255,64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,121.4
256,64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,1148,90,55.5
257,65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,113.3
258,64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,246.3
259,63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,220.1
260,63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,74.3
261,64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,1148,90,96.9
262,65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,46.3
263,61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,4,4,20,1180,1140,870,850,500,2568
264,64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,4,4,20,1180,1140,870,850,500,2696
265,66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,4,4,20,1180,1140,870,850,500,3054
266,67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,4,4,20,1180,1140,870,850,500,3243
267,63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,4,4,20,1180,1140,870,850,500,2721
268,67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,4,4,20,1180,1140,870,850,500,2537
269,60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,4,4,20,1180,1140,870,850,500,450
270,61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,4,4,20,1180,1140,870,850,500,917
271,61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,4,4,20,1180,1140,870,850,500,805
272,61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,4,4,20,1180,1140,870,950,240,3468
273,64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,4,4,20,1180,1140,870,950,240,3721
274,66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,4,4,20,1180,1140,870,950,240,3825
275,67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,4,4,20,1180,1140,870,950,240,3917
276,63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,4,4,20,1180,1140,870,950,240,3764
277,67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,4,4,20,1180,1140,870,950,240,3427
278,60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,4,4,20,1180,1140,870,950,240,380
279,61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,4,4,20,1180,1140,870,950,240,953
280,61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,4,4,20,1180,1140,870,950,240,837
281,61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,4,4,20,1180,1140,870,1050,140,1469
282,64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,4,4,20,1180,1140,870,1050,140,1592
283,66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,4,4,20,1180,1140,870,1050,140,1752
284,67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,4,4,20,1180,1140,870,1050,140,1803
285,63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,4,4,20,1180,1140,870,1050,140,1648
286,67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,4,4,20,1180,1140,870,1050,140,1423
287,60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,4,4,20,1180,1140,870,1050,140,270
288,61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,4,4,20,1180,1140,870,1050,140,468
289,61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,4,4,20,1180,1140,870,1050,140,416
290,61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,4,4,20,1180,1140,870,1100,120,498
291,64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,4,4,20,1180,1140,870,1100,120,572
292,66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,4,4,20,1180,1140,870,1100,120,584
293,67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,4,4,20,1180,1140,870,1100,120,592
294,63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,4,4,20,1180,1140,870,1100,120,583
295,67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,4,4,20,1180,1140,870,1100,120,487
296,60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,4,4,20,1180,1140,870,1100,120,166
297,61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,4,4,20,1180,1140,870,1100,120,377
298,61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,4,4,20,1180,1140,870,1100,120,319
299,61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,4,4,20,1180,1140,870,1150,90,485
300,64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,4,4,20,1180,1140,870,1150,90,593
301,66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,4,4,20,1180,1140,870,1150,90,623
302,67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,4,4,20,1180,1140,870,1150,90,650
303,63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,4,4,20,1180,1140,870,1150,90,590
304,67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,4,4,20,1180,1140,870,1150,90,473
305,61.7,3,9,5.6,1,6,0.6,6.5,6.5,0,0,0,0,0.1,4,4,20,1180,1140,870,1150,90,435
306,61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,4,4,20,1180,1140,870,1150,90,387
307,61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,4,4,20,1180,1140,870,1200,70,182
308,64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,4,4,20,1180,1140,870,1200,70,213
309,66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,4,4,20,1180,1140,870,1200,70,261
310,67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,4,4,20,1180,1140,870,1200,70,281
311,63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,4,4,20,1180,1140,870,1200,70,232
312,67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,4,4,20,1180,1140,870,1200,70,167
