Ni,Re,Co,Al,Ti,W,Mo,Cr,Ta,C,B
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043
60.981,2,10,5.8,1.5,6,1.5,7,5,0.05,0.004
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004
61.281,3,10,6.5,0,5.5,1.5,5,7,0.05,0.004
71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05
61.281,2,10,6.5,0,6.5,1.5,5,7,0.05,0.004
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05
59.885,0,10,5,2,12,0,9,0,0.1,0.015
66.8,0,5,5.4,0,6.9,2,7.9,5.9,0,0
59.546,2,10,6.2,0,7,1.5,7,6.5,0.05,0.004
61.781,4,10,6.5,0,4,1.5,5,7,0.05,0.004
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05
64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05
60.081,2.5,10,6.2,0,6,1.5,7,6.5,0.05,0.004
62.781,3,10,7,0,5.5,1.5,6,4,0.05,0.004
61.781,4,10,6.5,0,4,1.5,5,7,0.05,0.004
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05
60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05
63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05
63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004
63.2,2.9,10,5.5,0,4.9,2,7.5,3.9,0,0
60.2,0,5,5.6,1,8,0.6,8,6,0,0
67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0
64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0
61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0
62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003
