lattice_a,lattice_b,lattice_c,alpha,beta,gamma,Volume,Space,Occupacy,1-AAV,2-SDLC,3-SDLI,4-LBI,5-LNC,6-LLB,7-SBI,8-SNC,9-AFC,10-AASD,11-VPA,12-LASD,13-LLSD,14-ENS,15-PF,16-SPF,17-SLPW,18-SLPE,19-RBI,20-RNC,¦Ò
7.766,7.357,6.049,90,90,90,345.6063606,3,0,9.600176684,2.065591118,1.04635125,1.640851064,29,11,1.544144144,30,12,2.828384498,21.60039754,1.945407758,2.4028004,2.725,0.533333333,0.052333333,0.311656734,3.44,1.062628169,0.966666667,3.10E-12
5.147,6.094,5.293,90,90,90,166.016521,1,0.3286,9.223140056,3.500566848,1.162235752,1.17390411,106,66,1.8217,48,11.25,2.667675107,20.75206513,1.979597653,1.232953292,2.67,0.779,0.059,1.40542956,3.44,0.644400346,2.208333333,2.40E-10
13.0652,13.0652,13.0652,90,90,90,2230.222468,7,0.1978,12.67459916,2.808026045,1.139785937,1.374915254,87.68768769,33.63363363,1.484848485,30.70588235,10.5625,2.911693482,23.23148404,1.468761682,0.9896359,2.186666667,0.833333333,0.040333333,1.725165179,3.44,0.925963334,2.855729293,2.00E-05
12.79432,12.79432,12.79432,90,90,90,2094.361405,7,0.317,11.90410948,4.217514836,1.172731451,1.142916667,156.25,81.73076923,1.491084337,36.70588235,8.364583333,2.728651732,21.81626464,1.887697926,0.570599097,2.046666667,0.904666667,0.055,7.987613174,3.44,0.76650035,4.256810897,8.00E-06
12.80654,12.80654,12.80654,90,90,90,2100.368184,7,0.318666667,11.93174073,4.212325111,1.176766439,1.134583333,155.8752998,81.53477218,1.481445783,36.70588235,8.614583333,2.731682539,21.87883524,1.884716905,0.603145599,2.013333333,0.919333333,0.052,8.020185579,3.44,0.765862205,4.246602718,1.50E-06
9.54,9.54,9.54,90,90,90,868.250664,7,0.208333333,22.26283754,0,0.867945129,1.32,11,5,1.87,9.6,14.66666667,4.130941176,57.8833776,1.50732,2.131672387,2.85,0.346,0.121333333,0.56608244,0.98,0.705882353,1.145833333,1.50E-07
13.001,13.001,13.001,90,90,90,2197.507039,7,0.38,11.97421011,5.139498555,1.176427501,1.253709677,79.7979798,34.34343434,1.431230769,30,10.89583333,2.845809913,22.89069832,1.836159604,0.9087847,1.7325,0.912333333,0.052,1.312331309,3.44,0.87596613,2.65993266,4.00E-05
10.3111,10.3111,10.3111,90,90,90,1096.263606,7,0,18.27106009,0,0.990614741,1.231666667,16,8,0.947647059,17.33333333,12,3.547390448,34.25823767,2.577775,3.645524366,2.495,0.348666667,0.118,0.152762183,3.16,1.299710325,0.923076923,1.00E-04
8.93896,8.93896,8.93896,90,90,90,714.2676514,7,0.1875,17.85669128,0,0.845747168,0.469019608,180,156,1.798,44,14,3.870683222,44.64172821,1.915943623,0.898817651,3,0.684333333,0.118333333,2.16996287,3.04,0.260856289,4.090909091,1.50E-07
12.8575,12.8575,12.8575,90,90,90,2125.54155,7,0.1978,11.55185625,3.83771307,1.186800694,1.123333333,129.9350325,67.96601699,1.479277108,36.712361,8.5,2.7646021,22.14105781,1.839336801,0.602007046,1.7475,0.861666667,0.048,4.084684518,3.44,0.759379921,3.539272031,7.00E-06
13.1279,13.1279,12.6715,90,90,90,2183.828592,4,0,11.37410725,0.888600242,1.149117307,1.476969697,21.71428571,5.714285714,1.239827586,20.70588235,10.78125,2.846305978,22.7482145,1.902115217,2.571323058,1.956666667,0.82,0.053,0.326777676,3.44,1.191270233,1.048701299,3.50E-04
12.5009,6.0316,12.5303,102.845,113.2024,74.467,829.3476084,1,0,19.74637163,1.754116039,0.540764523,1.29225,13,3.142857143,0.8503125,13.35714286,8.954545455,3.203374511,37.69761856,2.278424061,2.920086584,2.385,0.305666667,0.133,0.803241646,2.58,1.519735391,0.973262032,4.10E-03
4.845,7.826,7.917,90,112.5,90,277.338151,1,0,11.55575629,0,0.308306333,1.026976744,22,1,0.47983871,20.6,10.375,2.47921978,17.33363444,1.882132207,3.185791105,1.905,0.247333333,0.008666667,1.022284449,2.2,2.140254055,1.067961165,2.00E-09
10.4818,10.4818,11.175,90,90,120,1063.285524,6,0,12.658161,1.044465936,0.862978153,1.882045455,23,2,1.180403226,17.16666667,5.770833333,2.500671149,22.15178174,2.019730856,3.646681875,2.316666667,0.286333333,0.048,0.573508379,3.44,1.594408939,1.339805825,1.40E-05
7.17858,4.43686,6.80321,90,90,90,216.68465,3,0,9.028527082,0,0.250933349,1.139130435,24,2,0.378227848,27.2,5.125,1.76776304,13.54279062,1.985755855,3.449151898,2.12,0.222333333,0.007666667,1.012924875,2.04,3.011757174,0.882352941,2.00E-08
5.471,5.471,13.404,90,90,120,347.4549318,5,0.333325,11.58159943,0,1.148547663,1.28,191.9616077,83.98320336,1.299065421,35.55555556,7.722222222,2.735210604,19.30305176,1.934040426,2.735210604,2.026666667,0.979,0.060333333,0.646027916,3.44,0.985323741,5.398920216,1.00E-03
5.03442,5.03442,10.25558,90,90,90,259.9316208,4,0,8.12286315,2.267786838,0.560776068,1.184313725,29,7,0.766896552,31.33333333,10.75,3.384697011,32.4914526,2.099332035,2.522494887,2.62,0.328333333,0.047666667,0.339768897,3.04,1.544293977,0.925531915,4.00E-10
15.0718,8.8556,9.1234,90,120,90,1010.53204,2,0.052631579,14.03516722,0,0.868362308,1.84,44,3,1.064592145,17.05882353,8.0625,2.462890985,21.05275083,1.917856126,1.347005216,2.32,0.334333333,0.049666667,1.122070521,3.44,1.728361428,2.579310345,5.00E-08
8.68385,8.68385,12.55589,90,90,90,946.83,4,0.1997,18.67220672,0.421417674,0.677699376,1.033157895,23.37260962,10.04442727,1.009901961,18,10.08333333,3.3477446,39.45126076,2.468169853,2.101744545,2.223333333,0.452666667,0.113,1.610222347,0.98,1.023027912,1.298478312,6.50E-03
7.55,6.45,6.05,90,90,90,294.619875,3,0,18.41374219,0,0.680100416,0.987692308,17,8,0.742222222,16.2,11.5,3.320557954,36.82748438,2.34183251,3.583751736,2.385,0.34,0.130666667,0.468469329,2.58,1.330723169,1.049382716,3.00E-07
8.73764,8.73764,12.7166,90,90,90,970.866,4,0.2265,19.56759976,0.634727693,0.685732755,1.020515464,25.48939641,11.41924959,1.0349,17.46666667,9.791666667,3.389276661,40.45275123,2.502733978,2.206785857,2.243333333,0.453,0.124333333,1.758664844,0.98,0.986100555,1.459316588,5.50E-03
12.9697,12.9697,12.9697,90,90,90,2181.673678,7,0.3629,11.8542936,5.343237396,1.18354191,1.241612903,86.10354223,37.05722071,1.400307692,29.14269061,10.23958333,2.867417352,22.72576748,1.855609768,0.842905004,1.92,0.9,0.048666667,2.8264247,3.44,0.886671487,2.954550195,1.00E-04
13.0652,13.0652,13.0652,90,90,90,2230.222468,7,0.1978,12.67459916,2.808026045,1.105684582,1.421694915,87.68768769,33.63363363,1.526666667,30.70588235,10.5625,2.911693482,23.23148404,1.468761682,0.9896359,2.186666667,0.725333333,0.052333333,3.142582597,3.44,0.931241211,2.855729293,4.00E-05
12.8566,12.8566,12.8566,90,90,90,2125.09523,7,0.422142857,12.07714952,5.616052089,1.092269899,1.42515625,94.89489489,36.03603604,1.476428571,32.11764706,8.5625,2.751019807,22.13640865,1.46417555,0.973835296,2.196666667,0.723333333,0.052666667,3.253627277,3.44,0.965272738,2.954602955,5.20E-05
12.66238,12.66238,12.66238,90,90,90,2030.233679,7,0.2236,11.53332166,5.6108699,1.143757985,1.317096774,94.72422062,40.76738609,1.423768116,32.82352941,10.58333333,2.708421889,21.14826749,1.86533376,0.816889133,2.21,0.839666667,0.058333333,3.278781402,3.44,0.92507815,2.885863352,8.20E-06
13.0893,13.0893,13.0893,90,90,90,2242.586817,7,0.317616667,12.19083403,2.557769234,1.116740941,1.412542373,73.06575918,28.0252227,1.5021875,29.29411765,10.69791667,2.886123867,23.36027935,1.494884961,0.990283321,1.8775,0.684,0.062,2.644735677,3.44,0.94032361,2.494212663,6.60E-06
12.8933,12.8933,12.8933,90,90,90,2143.345896,7,0.31762,11.65135454,5.115538468,1.102619574,1.41671875,79.07116405,30.02702432,1.498695652,31.41176471,8.197916667,2.792321481,22.32651975,1.485685473,0.976615172,1.885,0.692,0.054333333,2.736077596,3.44,0.945301168,2.517246796,1.30E-07
13.106,13.106,12.63,90,90,90,2169.420191,4,0,9.350949098,2.259158575,1.176628388,1.381395349,29.6,7.6,1.352238806,30.73684211,1.677083333,0.840205138,22.59812699,1.655745246,1.360604271,1.946666667,0.718,0.042666667,0.395083002,0.98,1.021561682,0.963013699,1.63E-06
13.134,13.134,12.663,90,90,90,2184.392269,4,0,9.415483917,2.654826033,1.171783696,1.4232,28.8,7.6,1.399484536,29.68421053,1.354166667,0.83613405,22.75408613,1.662597993,1.366550711,1.956666667,0.713333333,0.042333333,1.084778225,1.33,1.016945856,0.970212766,9.85E-07
4.57144824,4.57144824,4.87181099,117.9806535,117.9806535,90.00000005,76.17213364,1,0,9.521516705,0,0.601025721,1.609285714,30,4,1.023333333,27.33333333,9.25,2.664457513,19.04303341,2.110404632,2.923337636,2.615,0.437333333,0.085,0.20227855,3.04,1.572591903,1.097560976,1.04E-09
9.40237787,9.40237787,9.40237787,90,90,90,831.2144852,1,0,8.658484221,1.19739978,0.951785538,1.170898204,32.85714286,18,1.507121212,32,11.8125,2.752481945,25.97545266,2.020104102,2.262297503,2.615,0.687,0.062333333,0.45823207,3.04,0.77691044,1.026785714,1.90E-07
5.5151,5.5151,5.5151,90,90,90,167.7490906,7,0,12.9037762,2,0.823387376,0.608301887,19.33333333,15.11111111,1.129032258,21.5,12,3.899764609,41.93727265,2.16678392,2.446334789,2.81,0.558333333,0.094666667,0.479171662,3.04,0.538781671,0.899224806,2.35E-06
5.14872013,6.75060384,7.09604283,90,90,111.9501324,228.7581221,1,0,9.531588421,0.984731928,0.886394908,1.21754386,24.66666667,11.33333333,1.264516129,28,8.125,2.688031548,28.59476526,2.04384143,2.514485657,2.54,0.551666667,0.059333333,0.356863969,3.04,0.962853562,0.880952381,1.92E-09
8.24513117,8.24513117,8.24513117,109.4712207,109.4712207,109.4712206,431.4900808,1,0,8.989376683,0,0.917567095,1.117647059,33,15,1.279487179,34,11.5625,3.145893579,26.96813005,2.070150573,2.277980675,2.325,0.667,0.051333333,0.470598549,3.04,0.873511729,0.970588235,5.00E-08
4.81440275,5.33093962,5.3496559,120,90,90,119.0440413,1,0,9.920336778,0,0.635410819,1.5216,26,2,0.903,27.2,12.66666667,2.835189363,19.84067356,2.082642625,2.949407961,2.47,0.408333333,0.076333333,0.177589774,3.04,1.685049834,0.955882353,1.36E-09
9.96992238,9.98166619,15.0998306,90,90,90,1502.681343,1,0,9.391758392,1.374368542,0.828300207,1.262941176,25.875,9.25,1.144157549,27,10,2.802991181,23.47939598,2.059283652,2.42622564,2.47,0.571,0.059666667,0.456059443,3.04,1.103817544,0.958333333,5.28E-06
8.16117358,8.17147054,24.54324847,109.5239745,109.25507,109.2820796,1265.423935,1,0,8.787666217,1.871462908,0.93329837,1.166351209,31.9375,16.325,1.405659929,33.046875,11.39583333,2.915066741,26.36299865,2.003106896,2.249065775,2.47,0.647333333,0.061,0.404747411,3.04,0.829753474,0.96643026,9.24E-08
