"_id","Al","B","C","Co","Cr","Hf","La","Mn","Mo","Ni","Re","Si","Ta","Ti","W","Y","Zr","冷轧/厚度","力学性能/蠕变寿命","均匀化退火/均匀化退火时间","均匀化退火/均匀化退火温度","备注","孔洞尺寸/孔洞尺寸","孔洞数量/孔洞数量","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","最终退火/最终退火温度","服役因素/服役因素","材料牌号","热处理1/时间","热处理1/温度","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","空气冷却/空冷","蠕变实验/蠕变压力","蠕变实验/蠕变温度","蠕变断裂测试/拉力","蠕变断裂测试/温度","蠕变测试/γ相初期大小","蠕变测试/体积分数(γ΄)","蠕变测试/变形量","蠕变测试/应力","蠕变测试/测试应力","蠕变测试/测试温度","蠕变测试/温度","蠕变测试/降温速率(2250-2000oF)","轧制/轧制厚度","轧制/轧制温度","铸锭/铸锭直径","铸锭/铸锭重量","锻造/锻造厚度减少量","锻造（空冷）/锻造温度"
"ObjectId(""5b4caad6e6b1a81674aabddd"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"96.4874h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.423827μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4caadbe6b1a81674aabddf"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"133.404h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.403504μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4caae0e6b1a81674aabde1"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"167.987h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.427859μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4caae8e6b1a81674aabde3"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"93.5834h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.223353μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4caaece6b1a81674aabde5"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"111.464h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.22193μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4caaf1e6b1a81674aabde7"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"113.19h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.449607μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4caaf6e6b1a81674aabde9"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"28.2224h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.472419μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4caafbe6b1a81674aabdeb"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"76.2596h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.475766μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4cab00e6b1a81674aabded"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"151.18h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.44877μ",,,"110Ksi",,,"1400oF",,,,,,,
"ObjectId(""5b4cab05e6b1a81674aabdef"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"120.002h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,"0.401167μ",,,"110Ksi",,,"1400oF",,,,,,,
