Al,Co,Cr,Hf,Mo,Ni,Re,Ru,Ta,Ti,W,力学性能/蠕变速率,材料牌号,热处理/升温速率,热处理/热处理温度,热处理/第一段时间,热处理/第一段温度,热处理/第三段时间,热处理/第三段温度,热处理/第二段时间,热处理/第二段温度,热处理/第四段时间,热处理/第四段温度,第一次时效/第一次时效时间,第一次时效/第一次时效温度,第二次时效/第二次时效时间,第二次时效/第二次时效温度,蠕变实验/压力,蠕变实验/应变,蠕变实验/晶向,蠕变实验/温度,蠕变实验/真空度,蠕变测试/γ相尺寸,蠕变测试/压力,蠕变测试/塑性蠕变应变,蠕变测试/时间,蠕变测试/晶格取向,蠕变测试/测试压力,蠕变测试/测试温度,蠕变测试/温度,蠕变测试/蠕变应力,蠕变测试/蠕变应变,蠕变测试/蠕变温度,蠕变测试/试样厚度
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.72E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.04%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.72E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.04%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.76E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,6.72E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.56E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.56E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.34E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.41E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.48E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.64E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.04%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.28E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.64E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.04%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.28E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.34E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.34E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.56E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.41E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.48E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.41E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.00E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.10E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.00E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.05E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.22E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,9.52E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.16E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.05E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.22E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,9.52E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.16E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.10E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.16E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,8.62E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,9.06E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,7.08E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.81E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,7.81E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,8.21E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,6.11E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.01E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,7.08E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,8.62E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.27E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,6.41E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,8.21E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,7.08E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.53E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,7.81E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,6.74E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,3.55E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,3.92E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,3.55E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,4.54E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.53E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,2.91E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,2.39E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,4.11E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,4.32E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,2.77E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,2.64E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,2.39E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,2.77E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,4.32E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,3.38E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.82E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,8.21E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.49E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.64E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.16E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,7.08E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,270Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.91E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.28E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.22E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,2.01E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.64E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.49E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.35E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.05E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,1.00E-61/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.51E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,7.42E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,4.75E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.00%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,9.05E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.01%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,8.20E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,300Mpa,0.01%,980℃,0.2mm
