Al,Co,Cr,Hf,Mo,Ni,Re,Ru,Ta,Ti,W,力学性能/蠕变速率,材料牌号,热处理/升温速率,热处理/热处理温度,热处理/第一段时间,热处理/第一段温度,热处理/第三段时间,热处理/第三段温度,热处理/第二段时间,热处理/第二段温度,热处理/第四段时间,热处理/第四段温度,第一次时效/第一次时效时间,第一次时效/第一次时效温度,第二次时效/第二次时效时间,第二次时效/第二次时效温度,蠕变实验/压力,蠕变实验/应变,蠕变实验/晶向,蠕变实验/温度,蠕变实验/真空度,蠕变测试/γ相尺寸,蠕变测试/压力,蠕变测试/塑性蠕变应变,蠕变测试/时间,蠕变测试/晶格取向,蠕变测试/测试压力,蠕变测试/测试温度,蠕变测试/温度,蠕变测试/蠕变应力,蠕变测试/蠕变应变,蠕变测试/蠕变温度,蠕变测试/试样厚度
,,20,,,80wt%,,,,,15,0.00021/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,165.352827250147h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00031/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,10.0436571912379h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00031/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,21.8378681890453h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00021/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,36.8511158978322h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00021/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,130.668090528996h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00031/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,28.6039728747003h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00031/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,15.8426655768299h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00031/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,19.0763306272456h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00031/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,12.7214463039512h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00021/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,149.510007262259h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00021/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,48.2897110723507h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00021/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,68.8135440556198h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00031/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,8.48356003188448h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00021/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,87.1602633403158h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00091/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.911761791185731h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00061/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.36874571847588h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00061/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.64842755451426h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00051/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.69074743759029h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00031/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,7.0459310086033h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00051/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.98489003586404h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00091/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.975707388584259h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00051/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.23449565246659h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00041/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,6.15454783968004h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00081/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.08003206351529h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00041/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,3.90127089456697h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00111/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.823538349717788h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00041/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,3.29507670507085h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00041/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,5.02547044415587h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00071/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.23653302130977h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.731499325736152h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00271/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,41.6022309920411h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00171/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.627687038000003h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00151/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,26.55461240194h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00491/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,49.6741587739967h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00211/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.557364221365026h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00411/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,48.1391915511106h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00171/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,34.1640598110303h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00261/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.503308407771138h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00351/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,45.0873420855709h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00301/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,42.9499856034167h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00231/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,38.9744324157405h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00201/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,36.4855559464301h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00151/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.671875347798269h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00161/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,31.9665648745894h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00141/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.84608482602362h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,9.65393913563801h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00131/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.18125800517837h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,5.33256405780746h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.4731598680186h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,21.3719868766779h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00111/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,11.6473355479959h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.06732209762199h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00111/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,7.00024932361609h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00131/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,24.8650004865109h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,8.14637537498585h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00141/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,3.66890138106806h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,13.5442664100585h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00131/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,15.7540320390157h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00141/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,18.0122546469394h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00211/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,17.8905070055355h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00191/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,14.6066338716059h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00151/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.4887044748368h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00501/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,28.1675351685027h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00181/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,11.1418815181336h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00191/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,5.95418844596309h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00721/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,29.5965962815412h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00141/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.663634317501759h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00261/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,23.8365773606441h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00131/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.885394460147586h,,,,1000℃,,,,
,,20,,,80wt%,,,,,15,0.00161/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.426169067779522h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00201/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,4.85886242813011h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00351/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,25.9165489989127h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00181/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,7.67660288641598h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00991/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,31.1020173036196h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00221/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.82541374040904h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00401/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.740010559621158h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00341/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.891993279022765h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00901/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,28.7205302819992h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00201/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,3.89870810822642h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00271/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.67040101098438h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00461/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.509604187647696h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00421/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.624638422614604h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00331/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.09307397655175h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00571/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.350870825667573h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00241/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.9460676105144h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00741/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.210926457301198h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00621/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.276740550947864h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00291/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.40971305509413h,,,,1000℃,,,,
,,20,,,80wt%,,,,,10,0.00501/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.408800457036129h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00911/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.170242714059544h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00391/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,3.4975701668526h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00281/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,11.027533824152h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00301/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,7.35451373541314h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00311/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,16.8058392448823h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00461/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.00331657395882h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00331/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,5.42662904168489h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00291/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,8.85503880104498h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0401/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,5.34790373484053h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00281/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,14.2024766921824h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00521/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.01977981931807h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00341/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,18.9062772188383h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00451/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,23.5171182802179h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00391/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,21.6270382451283h,,,,1000℃,,,,
,,20,,,80wt%,,,,,5,0.00591/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,25.5613225105801h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0111/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.4434814691228h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0111/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.09956271392249h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0221/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,4.6931117123214h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.3082099266122h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0131/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.14235225438959h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0131/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.815330641735496h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0151/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.601072633725699h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0151/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.507832802457294h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0131/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,3.91282876471016h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0171/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,4.24978276895517h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0111/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,2.74871364250707h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0111/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.83474055477276h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.965507030774285h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0111/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,1.49833424300871h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0121/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,3.09207447814893h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0201/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.163626926432723h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0161/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.300809339821085h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0181/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.249648040746446h,,,,1000℃,,,,
,,20,,,80wt%,,,,,,0.0161/h,镍基合金,,,,,,,,,,,,,,,,,,,,,19.6Mpa,,0.421565760922669h,,,,1000℃,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,9.26E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.03%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,9.62E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.05%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,1.00E-3s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.05%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,9.26E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.04%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,9.26E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.04%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,8.91E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.04%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,8.52E-5s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,40Mpa,0.05%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,5.40E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.01%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,4.81E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.00%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,9.20E-5s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,40Mpa,0.05%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,8.91E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.02%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,7.94E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.02%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,3.97E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.00%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,6.55E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.01%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,8.91E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.03%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,8.57E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.03%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,7.07E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.01%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,7.89E-5s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,40Mpa,0.03%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,7.94E-4s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,60Mpa,0.00%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,8.52E-5s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,40Mpa,0.04%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,8.52E-5s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,40Mpa,0.04%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,6.76E-5s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,40Mpa,0.02%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
1.0wt.%,10.6,10.7,0,0.7,60.7,,,1,0.3,15,6.51E-5s^(-1),M247ox-0%(M247LC SX氧化处理),1℃/min,,2h,1230℃,4h,1080℃,2h,1280℃,20h,870℃,,,,,40Mpa,0.01%,10°-<001>,1100℃,2*10^(-7)mbar,,,,,,,,,,,,
